species	units	type	ref	int	slope	quad	min.len	max.len	measure	method	comment	source
"White Perch"	metric	linear	75	-5.122	3.136	NA	80	NA	TL	RLP	"none"	"Bister et al., 2000"
"White Sturgeon"	English	linear	75	-3.912	3.232	NA	27.5	NA	FL	RLP	"fork length"	"Beamesderfer, 1993"
"White Sturgeon"	metric	linear	75	-5.795	3.232	NA	700	NA	FL	RLP	"fork length"	"Beamesderfer, 1993"
"White Sucker"	English	linear	75	-3.282	2.94	NA	4	NA	TL	RLP	"none"	"Bister et al., 2000"
"White Sucker"	metric	linear	75	-4.755	2.94	NA	100	NA	TL	RLP	"none"	"Bister et al., 2000"
"Yellow Bass"	English	linear	75	-3.398	3.133	NA	2.75	NA	TL	RLP	"none"	"Bister et al., 2000"
"Yellow Bass"	metric	linear	75	-5.142	3.133	NA	70	NA	TL	RLP	"none"	"Bister et al., 2000"
"Yellow Bullhead"	English	linear	75	-3.491	3.232	NA	2.5	NA	TL	RLP	"none"	"Bister et al., 2000"
"Yellow Bullhead"	metric	linear	75	-5.374	3.232	NA	60	NA	TL	RLP	"none"	"Bister et al., 2000"
"Yellow Perch"	English	linear	75	-3.506	3.23	NA	4	NA	TL	RLP	"none"	"Willis et al., 1991"
"Yellow Perch"	metric	linear	75	-5.386	3.23	NA	100	NA	TL	RLP	"none"	"Willis et al., 1991"
