species,units,type,ref,measure,method,min.len,max.len,int,slope,quad,source,comment
Striped Bass,metric,linear,75,TL,RLP,150,NA,-4.924,3.007,NA,Brown and Murphy (1991b),none
Striped Bass (hybrid),English,linear,75,TL,RLP,4.5,NA,-3.448,3.139,NA,Brown and Murphy (1991b),same as Palmetto Bass and Striped Bass x White Bass
Striped Bass (hybrid),metric,linear,75,TL,RLP,115,NA,-5.201,3.139,NA,Brown and Murphy (1991b),same as Palmetto Bass and Striped Bass x White Bass
Striped Bass X White Bass,English,linear,75,TL,RLP,4.5,NA,-3.448,3.139,NA,Brown and Murphy (1991b),same as Palmetto Bass and Striped Bass (Hybrid)
Striped Bass X White Bass,metric,linear,75,TL,RLP,115,NA,-5.201,3.139,NA,Brown and Murphy (1991b),same as Palmetto Bass and Striped Bass (Hybrid)
Suwannee Bass,metric,quadratic,75,TL,EmP,110,NA,-0.106,-1.363,0.995,Bonvechio et al. (2010),none
Tiger Muskellunge,English,linear,75,TL,RLP,9.5,NA,-4.095,3.337,NA,Rogers and Koupal (1997),none
Tiger Muskellunge,metric,linear,75,TL,RLP,240,NA,-6.126,3.337,NA,Rogers and Koupal (1997),none
Walleye,English,linear,75,TL,RLP,6,NA,-3.642,3.18,NA,Murphy et al. (1990),none
Walleye,metric,linear,75,TL,RLP,150,NA,-5.453,3.18,NA,Murphy et al. (1990),none
Walleye (30-149 mm),English,linear,75,TL,RLP,1.25,NA,-3.431,2.869,NA,Flammang et al. (1999),none
Walleye (30-149 mm),metric,linear,75,TL,RLP,30,NA,-4.804,2.869,NA,Flammang et al. (1999),none
Warmouth,English,linear,75,TL,RLP,3,NA,-3.284,3.241,NA,Bister et al. (2000),none
Warmouth,metric,linear,75,TL,RLP,80,NA,-5.18,3.241,NA,Bister et al. (2000),none
White Bass,English,linear,75,TL,RLP,4.5,NA,-3.394,3.081,NA,Brown and Murphy (1991b),none
White Bass,metric,linear,75,TL,RLP,115,NA,-5.066,3.081,NA,Brown and Murphy (1991b),none
White Catfish,English,linear,75,TL,RLP,4,NA,-3.739,3.395,NA,Bister et al. (2000),none
White Catfish,metric,linear,75,TL,RLP,100,NA,-5.851,3.395,NA,Bister et al. (2000),none
